coda,nucleus,onset,jyutping,tone
p,aa,b,baap1,1
p,aa,b,baap2,2
p,aa,b,baap3,3
p,aa,b,baap4,4
p,aa,b,baap5,5
p,aa,b,baap6,6
t,aa,b,baat1,1
t,aa,b,baat2,2
t,aa,b,baat3,3
t,aa,b,baat4,4
t,aa,b,baat5,5
t,aa,b,baat6,6
k,aa,b,baak1,1
k,aa,b,baak2,2
k,aa,b,baak3,3
k,aa,b,baak4,4
k,aa,b,baak5,5
k,aa,b,baak6,6
m,aa,b,baam1,1
m,aa,b,baam2,2
m,aa,b,baam3,3
m,aa,b,baam4,4
m,aa,b,baam5,5
m,aa,b,baam6,6
n,aa,b,baan1,1
n,aa,b,baan2,2
n,aa,b,baan3,3
n,aa,b,baan4,4
n,aa,b,baan5,5
n,aa,b,baan6,6
ng,aa,b,baang1,1
ng,aa,b,baang2,2
ng,aa,b,baang3,3
ng,aa,b,baang4,4
ng,aa,b,baang5,5
ng,aa,b,baang6,6
i,aa,b,baai1,1
i,aa,b,baai2,2
i,aa,b,baai3,3
i,aa,b,baai4,4
i,aa,b,baai5,5
i,aa,b,baai6,6
u,aa,b,baau1,1
u,aa,b,baau2,2
u,aa,b,baau3,3
u,aa,b,baau4,4
u,aa,b,baau5,5
u,aa,b,baau6,6
,aa,b,baa1,1
,aa,b,baa2,2
,aa,b,baa3,3
,aa,b,baa4,4
,aa,b,baa5,5
,aa,b,baa6,6
p,a,b,bap1,1
p,a,b,bap2,2
p,a,b,bap3,3
p,a,b,bap4,4
p,a,b,bap5,5
p,a,b,bap6,6
t,a,b,bat1,1
t,a,b,bat2,2
t,a,b,bat3,3
t,a,b,bat4,4
t,a,b,bat5,5
t,a,b,bat6,6
k,a,b,bak1,1
k,a,b,bak2,2
k,a,b,bak3,3
k,a,b,bak4,4
k,a,b,bak5,5
k,a,b,bak6,6
m,a,b,bam1,1
m,a,b,bam2,2
m,a,b,bam3,3
m,a,b,bam4,4
m,a,b,bam5,5
m,a,b,bam6,6
n,a,b,ban1,1
n,a,b,ban2,2
n,a,b,ban3,3
n,a,b,ban4,4
n,a,b,ban5,5
n,a,b,ban6,6
ng,a,b,bang1,1
ng,a,b,bang2,2
ng,a,b,bang3,3
ng,a,b,bang4,4
ng,a,b,bang5,5
ng,a,b,bang6,6
i,a,b,bai1,1
i,a,b,bai2,2
i,a,b,bai3,3
i,a,b,bai4,4
i,a,b,bai5,5
i,a,b,bai6,6
u,a,b,bau1,1
u,a,b,bau2,2
u,a,b,bau3,3
u,a,b,bau4,4
u,a,b,bau5,5
u,a,b,bau6,6
,a,b,ba1,1
,a,b,ba2,2
,a,b,ba3,3
,a,b,ba4,4
,a,b,ba5,5
,a,b,ba6,6
p,i,b,bip1,1
p,i,b,bip2,2
p,i,b,bip3,3
p,i,b,bip4,4
p,i,b,bip5,5
p,i,b,bip6,6
t,i,b,bit1,1
t,i,b,bit2,2
t,i,b,bit3,3
t,i,b,bit4,4
t,i,b,bit5,5
t,i,b,bit6,6
k,i,b,bik1,1
k,i,b,bik2,2
k,i,b,bik3,3
k,i,b,bik4,4
k,i,b,bik5,5
k,i,b,bik6,6
m,i,b,bim1,1
m,i,b,bim2,2
m,i,b,bim3,3
m,i,b,bim4,4
m,i,b,bim5,5
m,i,b,bim6,6
n,i,b,bin1,1
n,i,b,bin2,2
n,i,b,bin3,3
n,i,b,bin4,4
n,i,b,bin5,5
n,i,b,bin6,6
ng,i,b,bing1,1
ng,i,b,bing2,2
ng,i,b,bing3,3
ng,i,b,bing4,4
ng,i,b,bing5,5
ng,i,b,bing6,6
i,i,b,bii1,1
i,i,b,bii2,2
i,i,b,bii3,3
i,i,b,bii4,4
i,i,b,bii5,5
i,i,b,bii6,6
u,i,b,biu1,1
u,i,b,biu2,2
u,i,b,biu3,3
u,i,b,biu4,4
u,i,b,biu5,5
u,i,b,biu6,6
,i,b,bi1,1
,i,b,bi2,2
,i,b,bi3,3
,i,b,bi4,4
,i,b,bi5,5
